k,SSE,Silhouette
970,2086.587074463385,0.8943433779703346
980,2052.1718839200907,0.8954730505559957
990,2023.0147349647864,0.8963147607059961
1000,1996.1823441770105,0.8969110120233157
1010,1972.6598619767535,0.897562888390601
1020,1946.4065001018837,0.8982268546374679
1030,1917.2358841706573,0.8993736599740694
1040,1895.5377363191149,0.8999052279315622
1050,1862.6900537595407,0.9008828605868546
1060,1832.4195260820966,0.9021189652219791
1070,1804.7627066898913,0.9030516902288916
1080,1781.2534991314456,0.9036021214307502
1090,1757.155967347016,0.9042774550813277
1100,1727.9093396601977,0.9061246026554294
1110,1703.388072854923,0.9067134194822232
1120,1683.014584366435,0.9072737220786156
1130,1660.2176588654324,0.9079017386725686
1140,1637.6397573969,0.9084875571692413
1150,1620.7867858496393,0.9089891627795149
1160,1598.1268060040084,0.9097194746942634
1170,1578.9164521999062,0.9102463331451642
1180,1560.6847054426705,0.9110430579023648
1190,1537.0236518189854,0.9117589599152784
1200,1522.0979461151742,0.9123733806936718
1210,1506.2707052504875,0.9129760090272467
1220,1488.656025560946,0.9137776169931431
1230,1473.3683388127024,0.9142203770864911
1240,1456.5730861242914,0.9148352006993231
1250,1442.9179103712227,0.9152799509516595
1260,1426.8962980871688,0.9158208356961142
1270,1410.8397906701532,0.9164269300844048
1280,1396.0198153393353,0.916882964404529
1290,1382.5029797301522,0.9174421414129631
1300,1366.3865388141999,0.9180370078455041
1310,1353.8667995400021,0.9183729440013023
1320,1342.871104948578,0.9187208770650503
1330,1328.7461297923542,0.919283160406082
1340,1312.2258226615593,0.9200305900099923
1350,1298.6520664415634,0.9205481273451056
1360,1280.451464382844,0.9215248547630901
1370,1268.0981454327964,0.9221115870228309
1380,1254.090958560105,0.9228227703504804
1390,1241.251608345062,0.9232763070935442
1400,1228.9517838568179,0.9237053999541656
1410,1213.9108279110526,0.9244328517346905
1420,1202.6190513149777,0.9247418253981007
1430,1188.0040647353871,0.9253419975124805
1440,1175.6883264920082,0.9258364515675367
1450,1164.2680509317843,0.9262438979256655
1460,1152.0562621024444,0.9267391264118227
1470,1139.8920998134138,0.9272107428476936
1480,1129.454907168056,0.927859951532236
1490,1116.959364075508,0.9283247563499554
1500,1107.1104587907691,0.9287377131805329
1510,1095.66787585309,0.9292543922473714
1520,1085.4154773105995,0.9295678905508251
1530,1078.844143752688,0.9297000787478511
1540,1069.3545385011548,0.930308538477097
1550,1059.3361341773402,0.930638834931976
1560,1049.603756129542,0.9310001611738934
1570,1038.942020383072,0.931480311128954
1580,1028.1949840543261,0.9320873842041478
1590,1018.1646539129406,0.9325422562288009
1600,1008.6295155473723,0.932863835638476
1610,999.5863088289138,0.933120867131416
1620,988.2532836474803,0.9336567411460138
1630,977.5048041936302,0.9339853369021216
1640,969.0295521757016,0.9343530786978695
1650,960.1268738493031,0.9347626277497975
1660,952.1413824857202,0.9350921102496682
1670,941.8375487234341,0.9355507281945264
1680,934.5899418542481,0.9358271881241379
1690,925.7922144632206,0.9361974568354778
1700,917.1262146294584,0.9366439539908283
1710,909.3127637239381,0.9369298842063761
1720,898.0404031227129,0.9374837995185938
1730,888.7257425303021,0.9378927978912545
1740,879.529623971573,0.9383838958423704
1750,869.3008345757637,0.9388615752261759
1760,860.086883754188,0.939240906062614
1770,852.4293603853678,0.9395954307809785
1780,842.5054060651499,0.939896009127132
1790,833.362530350585,0.9402964817631385
1800,825.8641717636548,0.940590229776647
1810,818.4156608779429,0.9408535383654398
1820,810.5832681047376,0.9411476087708835
1830,802.2686443786681,0.9414288334703101
1840,795.0633554466324,0.9418103935021925
1850,787.1468126441898,0.9420723440709223
1860,779.7313950545421,0.9423634507583952
1870,771.6487741164965,0.942636957348477
1880,764.719114182117,0.9428686977172036
1890,758.0162863443419,0.9430502675280686
1900,750.3590991443052,0.9433457324510729
1910,742.5082885381704,0.9436806930861872
1920,735.705867554955,0.9437822258517196
1930,727.7977018032875,0.9442143334945721
1940,721.6118754212424,0.944450722605402
1950,714.7714191102276,0.9446053489418785
1960,707.7850658280671,0.9448149052757517
1970,700.611074318823,0.9450683071364304
1980,693.7033186423441,0.9453709499930801
1990,686.4894816095268,0.9456792478335113
2000,680.2036639049785,0.9458770359324932
2010,673.2136751702255,0.9462247822009889
2020,666.7664680618858,0.9464724145040438
2030,661.380360213201,0.9465226337050346
2040,655.114286078619,0.9467643271691841
2050,649.2369629442684,0.9469169196972429
2060,644.029805284647,0.947019872188193
2070,638.3728206636728,0.9472166454571275
2080,631.2133430452916,0.9475130623783092
2090,625.1132512142863,0.9477410298861344
2100,619.7104393007317,0.9479001587355781
2110,614.5834586950978,0.9480623580786923
2120,609.2503260766869,0.948271439397229
2130,603.4752766476354,0.9484436360506249
2140,597.5463007016999,0.948799390829529
2150,591.5749288894183,0.948999962630642
2160,586.1106740169027,0.9491779077393792
