mileage,model,color_id,name_cluster,real,pred,error
0.018808018,0.98646724,18.0,18.0,1.1499992e+08,1.1721397e+08,2.214048e+06
0.006200006,0.9985755,23.0,249.0,8.6999974e+08,8.809436e+08,1.0943872e+07
0.19700019,0.99216527,26.0,190.0,2.2000016e+08,2.3177954e+08,1.1779376e+07
0.14300014,0.9900285,16.0,201.0,1.750001e+08,3.6941908e+09,3.5191908e+09
0.2000002,0.9843305,16.0,0.0,7.3000024e+07,1.2024564e+08,4.7245616e+07
0.0,0.99501425,16.0,521.0,8.649999e+09,6.5317786e+09,2.1182208e+09
0.055000056,0.997151,26.0,36.0,1.4200005e+09,1.2235498e+09,1.9645069e+08
0.2000002,0.9928775,16.0,34.0,2.4999995e+08,2.520655e+08,2.065552e+06
0.11000011,0.99501425,8.0,35.0,3.4999968e+08,3.9244787e+08,4.244819e+07
0.04222204,0.988604,16.0,39.0,1.3999994e+08,1.4888938e+08,8.88944e+06
0.27800027,0.99216527,16.0,87.0,1.1111109e+08,2.870487e+08,1.7593762e+08
0.25000024,0.98575497,25.0,33.0,2.5999997e+08,3.0454528e+08,4.454531e+07
0.00037000037,0.98717946,23.0,588.0,1.1000009e+09,9.499309e+08,1.5007002e+08
0.17000017,0.99501425,16.0,17.0,4.2700035e+08,4.9233568e+08,6.533533e+07
0.1980002,0.99358976,23.0,54.0,3.2999994e+08,3.24201e+08,5.798944e+06
0.023000022,0.99501425,15.0,212.0,6.9300006e+08,4.8718486e+08,2.058152e+08
0.115000114,0.99501425,23.0,173.0,3.8800023e+09,3.7901798e+09,8.982246e+07
0.16600017,0.994302,16.0,2.0,3.8000006e+08,4.3516646e+08,5.51664e+07
0.4000004,0.98789173,25.0,11.0,1.8799997e+08,2.4961734e+08,6.1617376e+07
0.15300015,0.99358976,16.0,42.0,1.3549998e+09,1.5249907e+09,1.6999091e+08
0.002900003,0.9985755,16.0,70.0,4.0899994e+08,3.8693802e+08,2.206192e+07
0.0,0.9992877,23.0,25.0,1.6499997e+09,1.7206309e+09,7.063117e+07
0.0,0.9992877,16.0,60.0,6.9999974e+08,6.312859e+08,6.871386e+07
0.0001030001,0.9992877,8.0,93.0,1.0500006e+09,9.3123245e+08,1.1876813e+08
0.26300025,0.98504275,6.0,62.0,1.00000024e+08,1.042129e+08,4.212872e+06
0.35000035,0.98646724,8.0,32.0,1.2999993e+08,1.3435112e+08,4.351192e+06
0.095000096,0.99643874,16.0,16.0,7.3000064e+08,6.902523e+08,3.974835e+07
0.3000003,0.9907407,19.0,309.0,3.2999994e+08,3.5123152e+08,2.1231584e+07
0.028000029,0.99786323,16.0,8.0,3.6200016e+08,3.7196352e+08,9.96336e+06
0.02000002,0.9985755,16.0,16.0,8.6999974e+08,8.6901126e+08,988480.0
0.21400021,0.9928775,16.0,2.0,4.5000035e+08,4.1590218e+08,3.4098176e+07
0.2000002,0.97792023,15.0,35.0,5.9999984e+07,7.2039816e+07,1.2039832e+07
0.05000005,0.997151,16.0,60.0,6.150001e+08,5.887184e+08,2.6281728e+07
0.033500034,0.99786323,16.0,87.0,5.480001e+08,5.783632e+08,3.0363072e+07
0.0,0.9992877,16.0,383.0,4.0999968e+08,3.8926906e+08,2.0730624e+07
0.34500036,0.98504275,30.0,4.0,9.000006e+07,1.0981576e+08,1.9815696e+07
0.018000018,0.9985755,16.0,244.0,4.149996e+08,3.923723e+08,2.2627328e+07
0.22000022,0.9893162,23.0,413.0,6.0606075e+09,1.4299699e+09,4.6306376e+09
0.1000001,0.988604,25.0,19.0,2.0000014e+08,1.6471282e+08,3.528733e+07
0.25000024,0.9843305,16.0,189.0,1.1499992e+08,1.33155656e+08,1.8155736e+07
0.05000005,0.98646724,25.0,72.0,1.2000003e+08,1.2667931e+08,6.67928e+06
0.005000005,0.9985755,0.0,257.0,6.199998e+08,6.7158394e+08,5.158413e+07
0.11000011,0.99643874,16.0,69.0,3.250003e+08,2.9078378e+08,3.421651e+07
0.14000013,0.9907407,25.0,144.0,3.4000022e+08,2.9930496e+08,4.0695264e+07
0.14800015,0.99501425,16.0,69.0,2.6500011e+08,2.6834077e+08,3.340656e+06
0.0,0.9992877,23.0,76.0,1.2666995e+09,1.5021527e+09,2.3545318e+08
0.024580024,0.99216527,16.0,190.0,2.149998e+08,2.5821982e+08,4.3220016e+07
0.36000037,0.9900285,0.0,84.0,1.3999994e+08,1.8285363e+08,4.2853696e+07
0.001000001,0.988604,23.0,19.0,1.3499997e+08,1.5211291e+08,1.7112944e+07
0.09200009,0.9928775,23.0,181.0,2.1999987e+09,1.6325444e+09,5.6745434e+08
0.26000026,0.98717946,16.0,213.0,1.2799991e+09,2.6927506e+09,1.4127515e+09
0.5000005,0.98789173,0.0,50.0,2.9999994e+08,4.1025078e+08,1.1025085e+08
0.054000054,0.99786323,16.0,16.0,7.899997e+08,8.049037e+08,1.4904e+07
0.5000005,0.9843305,25.0,64.0,1.3499997e+08,1.9028064e+08,5.528067e+07
0.05100005,0.99572647,16.0,80.0,9.4999974e+08,9.171606e+08,3.2839168e+07
